Article,Recommendation
A 101 Guide To Building Your Personal Brand,"[(0.91, 'iPad Losing to More Affordable Tablets'), (0.89, '[Techie Tuesdays] A tribute to Humblefool, the best coder that ever lived in India'), (0.83, '5 entrepreneurship lessons to learn from Colonel Sanders, the culprit responsible for your finger-licking mania'), (0.82, '22 Ways to Renew Your Spirit and Get Your Mojo Back'), (0.79, 'Customer Relations Blunder? Google Causes Stir Over Easter Doodle')]"
How Health Care Reform Changes Impact the Small Business Owner,"[(0.99, 'The Small Business Guide to Getting Ready for Vacation'), (0.98, 'Brennan Loh of Shopify: The Future of Ecommerce is in Customer Engagement'), (0.96, 'Do You Qualify for a Break Under These Small Biz Tax Definitions?'), (0.96, '5 Ways to Avoid BYOD Nightmares'), (0.95, 'Getting In The Game Puts Your Start Up Investment on the Board')]"
New Magazine Tells of Smart Hustling Small Business Entrepreneurs,"[(1.0, 'Using Vine Videos to Beef Up Your Written Content'), (1.0, '10 Ways to Use Hashtags for Your Business'), (0.97, 'Why Small Businesses Love Cloud Services'), (0.94, 'How to Create a Mobile Office for Your Small Business'), (0.94, 'Better Business Bureau Reviews, LinkedIn Apps and More')]"
Do You Need to Notify the State of Changes to Your Business?,"[(0.89, 'IRS Business Data in Pictures'), (0.85, 'The Toughest Franchise Business In The World'), (0.84, 'Marijuana Businesses Offer Opportunities, But Also Risks'), (0.79, 'Amazon Launches a Phone! Fire Has a Scan and Buy Feature'), (0.78, 'The Terms of Business: How to Negotiate a Partnership Agreement')]"
13 Best Practices for Building Solid Small Business Operations,"[(1.0, 'Cardamom futures remain up on rising demand'), (0.96, 'This One Quality Can Make or Break Your Social Media Campaigns'), (0.96, 'This Coffee Shop is Selling More Than Just Coffee'), (0.96, 'Mompreneur Launches $3 Million Business Selling Superhero Capes'), (0.94, '8 Reasons Your Facebook Page Stinks')]"
4 Things To Consider When Writing Site Content,"[(0.95, 'Review of The Mesh: Why The Future of Business Is Sharing'), (0.94, 'Why Online Reputation Matters to Small Business'), (0.94, 'Twitter Chat: Is Your Brand Helping Or Hurting Your Business?'), (0.94, 'Read iPhone Millionaire to Create Professional Looking Videos'), (0.94, 'How To Get Everything You Promised Done')]"
How to Motivate Temporary Employees to do Their Best,"[(0.97, 'Twitter Chat: Is Your Brand Helping Or Hurting Your Business?'), (0.97, 'Receive Custom Social Content for Your Small Business With Emphatic'), (0.97, 'Celebrating National Business Etiquette Week'), (0.95, 'No Ifs, Ands or Butts: Get Your Employees Fit!'), (0.92, 'Get Ready: Here Comes Twitter Business Center')]"
"Small Business News: An Acquisition, a Rebrand and a Shutdown","[(0.95, 'Getting Your Small Business Ready for the Holidays'), (0.95, 'Constant Contact Moves into Mobile with Acquisition of CardStar'), (0.95, '6 Ways You Can Emulate Top Brands'), (0.95, '3 Ways to Perform SEO on a Shoestring Budget'), (0.95, '25 Businesses You Can Start for Less Than $100')]"
SMB Marketing Is About Telling Your Story,"[(1.0, 'RGB, CMYK and PMS Colors Explained'), (0.98, 'Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years'), (0.98, 'How To Set Up and Structure Multiple Businesses'), (0.97, 'Who Should You Follow on Twitter?'), (0.96, 'Small Business News: Stories This Week Not to Miss')]"
Read The Other Side of Innovation to Transform Your Revolutionary Ideas,"[(0.96, 'Twitter Accidentally Sends Out Thousands of Reset Notices'), (0.96, 'Get Ready: Here Comes Twitter Business Center'), (0.92, 'Yes, Some Small Businesses Have Social Media Budgets over $100,000'), (0.92, 'No Ifs, Ands or Butts: Get Your Employees Fit!'), (0.92, 'Mashable Raises $13 Million, Its First Ever Outside Investment')]"
Using the Law of Attraction to Create the Company You Want,"[(1.0, 'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses'), (1.0, 'New Apple iPad Thinner, Lighter But Still $499'), (0.98, 'You Can Use LinkedIn As a Landing Page and Facebook For Blogging'), (0.98, 'The Experience Effect for Small Business is Full of Big Branding Strategies'), (0.97, 'Ten Approaches That May Shape the Future of eCommerce')]"
Will You Jump at the Chance? BlackBerry Leap Pre-orders Begin,"[(1.0, 'Email Erases 9 to 5 at Many Small to Mid-Sized Businesses'), (1.0, 'Apps to Make Your Blogging Life Easier'), (0.95, 'LG Launching G4 Flagship Phone and One for Doodling'), (0.94, 'Aim to add 2-3 million tonne capacity every year: Shree Cements'), (0.9, 'Stay At Home Mom Launched $24 Million Franchise in her Living Room')]"
Against The Machine: Being Human In The Age of The Electronic Mob,"[(0.9, 'Six Apart finds a pot full of VC Dollars'), (0.9, 'Entrepreneurial Monks Launch Brewery to Keep the Abbey Open'), (0.9, 'Entrepreneur Creates Winery on the Third Floor of a Warehouse'), (0.87, 'Citysearch: Product Manager, LA'), (0.84, 'Tips for Tracking Employee Time Effectively in Your Business')]"
How the IRS Scandal Might Benefit Small Business,"[(1.0, 'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant'), (1.0, 'An Update on the Greater Opportunities for Small Business Act'), (0.99, 'Answers to Your Frequently Asked Questions About Incorporation'), (0.96, 'Working On Your Business Not In It'), (0.96, 'Small Business Groups Offer Mixed Reaction to Obama Budget')]"
Re-inventing B2B Commerce with technology - The next wave,"[(0.97, 'This African Entrepreneur Creates 3-D Printers Out of E-Waste'), (0.95, 'Ebay Tests Digital 24-Hour Shopping Windows in Brick and Mortar Storefronts'), (0.89, 'Look beyond the hype of certification, look for skills to move up in the real world'), (0.88, 'Say What? Siri Voicemail Transcription Means Text, Not Talk'), (0.86, '12 Apps to Help Ease Anxiety')]"
The Psychology of Color in Marketing,"[(1.0, 'MYQROsites Offers New App for Mobile Marketing With QR Codes'), (1.0, 'Here comes Wells Fargo...'), (0.97, 'Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years'), (0.94, 'Here comes industrial production ...'), (0.94, 'Google+ Lifts Real Names Only Policy')]"
5 Tools to Research the Demographics of Your Twitter Followers,"[(1.0, 'Infusionsoft Gmail Integration is Now Available'), (1.0, '10 Social Media Books Every Small Business Owner Should Read'), (1.0, '10 Reasons to Boost Your Twitter Presence'), (0.96, 'Small Business News: Small Biz Startup Tips'), (0.96, 'Manta Business Directory Upgrades to Help You Get Discovered')]"
5 Ways Business Intelligence and Online Marketing Can Work Together,"[(1.0, 'MYQROsites Offers New App for Mobile Marketing With QR Codes'), (0.95, 'LinkedIn Rolls Out New Features For Marketers'), (0.95, 'Here comes Wells Fargo...'), (0.95, '10 Reasons to Be Optimistic Looking Forward'), (0.93, 'The Psychology of Color in Marketing')]"
A New Code of Conduct for Affiliate Marketing,"[(1.0, 'Bing Gives Twitter Results Including Hashtags and Handles'), (0.95, 'The Sweet Sound of Online Sales: Review of KaChing'), (0.95, 'The Evolution of Affiliate Marketing'), (0.95, 'Small Business Product Launches and Shut Downs'), (0.95, 'Read Impact Equation to Help You Harness Your Social Media Message')]"
Headlining the News This Week: Wix Acquires OpenRest,"[(0.98, 'The Referral Engine: Teaching Your Business to Market Itself'), (0.97, 'Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation'), (0.97, 'Mike Blumenthal Talks Local Search Marketing, Pigeon Update'), (0.97, 'Giles House of CallidusCloud: Most Important Cloud is one that Turns Leads into Cash'), (0.97, 'Facebook is Trying to Make Advertising Simpler')]"
How Often Should You Update Your Small Business Blog?,"[(0.97, 'The Referral Engine: Teaching Your Business to Market Itself'), (0.96, 'Raghu Raghavan of Act-On: Now is the Time to Dive Into Marketing Automation'), (0.96, 'Meet 15 Movers and Shakers at ICON15'), (0.96, 'Looking for Blog Topics? @TheSalesLion Has a Few [BlogWorld Coverage]'), (0.96, 'Advantages of Using eCommerce Software in Your Retail Business')]"
Is Google Wallet Geared Toward Small Biz?,"[(1.0, 'Amazon Introduces New Kindle Fire Tablets'), (0.98, 'The Micro Business Home Equity Loan Crunch'), (0.97, 'How To Get Everything You Promised Done'), (0.94, 'Windows 8.1 For Free? A Version May Be In The Works'), (0.94, 'Time is Money: Are You and Your Employees Effectively Managing It?')]"
Getting Your Small Business Ready for the Holidays,"[(1.0, '6 Ways You Can Emulate Top Brands'), (0.96, 'A Look at Franchises Specializing In Security'), (0.95, 'Small Business News: An Acquisition, a Rebrand and a Shutdown'), (0.95, 'Review: Attention! This Book Will Make You Money'), (0.93, 'What Makes an Entrepreneur?')]"
Presentations: How to Make Your Message Stick,"[(0.95, 'Lenovo A7000 Phablet Offers Super Sound and Little Interference'), (0.93, 'Chinese yuan strengthens'), (0.9, ""Here's a super-quick guide to what traders are talking about right now""), (0.89, 'Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop'), (0.85, 'Earnings This Week')]"
Google Makes Business Photos Self-Service,"[(1.0, 'Is the S Corp Right for Your Small Business?'), (1.0, '6 Things Customers Want from Retail Stores and How You Can Deliver'), (0.96, 'Time is Money: Are You and Your Employees Effectively Managing It?'), (0.96, 'Save the Date for a Twitter Chat: Demystifying Data Backup'), (0.96, 'SMB Owners Can Respond to Google Place Reviews')]"
The Terms of Business: How to Negotiate a Partnership Agreement,"[(0.93, 'Marijuana Businesses Offer Opportunities, But Also Risks'), (0.8, 'IRS Business Data in Pictures'), (0.78, 'Do You Need to Notify the State of Changes to Your Business?'), (0.77, 'When is the Best Time to Trademark Your Company Name?'), (0.76, 'Photographer Driven Bananas Over Wikipedia Monkey Selfies')]"
Bigcommerce Increases Reach Into Small Business Commerce,"[(1.0, 'The Gen Y Handbook: Talking Business With Millennials'), (0.96, 'What New Opportunities Does Android Wear Offer for Entrepreneurs?'), (0.96, 'Targeted Cyber Attacks Against Small Biz: Chat Recap'), (0.96, 'Getting Your Business Energy Efficient Before the Holidays'), (0.94, 'Where Is the Best State to Incorporate Your Business?')]"
Will an LLC Help Lower Your Business Taxes?,"[(0.96, 'Top 4 Health Insurance Trends for Small Businesses'), (0.96, 'Spotlight: elMejorTrato Runs a Startup With No Bosses'), (0.96, 'SBA Fund Adds Manufacturing, Lifts $200 Million Limit'), (0.96, '11 things to do in your 20s to become a millionaire by 30'), (0.94, 'Are You Guilty of Committing the Top Incorporation Mistakes?')]"
WixMusic Lets Musicians Set the Tempo for Their Brand,"[(0.96, 'Cicret Could Turn Your Skin Into a Smartphone Display'), (0.84, 'Green Packaging Solutions: Pizza Box With Built-In Paper Plates'), (0.8, 'Small Business Disaster Survival Guide: Get Your Insurance Claims Covered'), (0.8, 'Franchising In The Downturn And Recovery'), (0.8, '10 Things You Need To Do After Forming An LLC')]"
Here comes consumer confidence ...,"[(0.97, 'Ten interesting things we read last week'), (0.95, 'Euro zone business growth picks up slightly but still muted'), (0.93, 'Bullet train projects: A $51 billion gold mine in making for MSMEs'), (0.92, 'Selling In A Skirt Elevates Training for Saleswomen and Salesmen'), (0.92, 'Build your Business Through The Economics of Integrity')]"
New iPhone May Offer a Mobile Payment Platform,"[(0.94, 'Selling In A Skirt Elevates Training for Saleswomen and Salesmen'), (0.94, 'Build your Business Through The Economics of Integrity'), (0.93, 'How to Get a Startup Visa Act Passed'), (0.91, 'Spotlight: elMejorTrato Runs a Startup With No Bosses'), (0.91, ""How 2 of the world's most powerful and dangerous drug lords compare"")]"
Most Common SMO Strategies Not The Most Effective,"[(1.0, 'Big News: Quickbooks Competitor Intacct Targets the SMB Market'), (1.0, '50 Time Saving Tips for Small Businesses'), (0.97, 'The 10 things in advertising you need to know today'), (0.97, '85 Percent of Small Businesses Get Customers Through Word of Mouth'), (0.96, 'The Evolution of Affiliate Marketing')]"
How to Use Cloud Apps to Streamline Your Marketing Campaign,"[(1.0, 'Twitter Ads Soar, But Beware This AdWords Hack'), (1.0, 'Getting Your Invention To Market'), (1.0, 'Get It Together! Consolidate Your Business Systems'), (1.0, 'Behind the Book: Anita Campbell Talks About Visual Marketing'), (1.0, '3 Key Business Marketing Trends for 2014')]"
Are Immigrants Really More Likely to Become High Tech Entrepreneurs?,"[(1.0, 'Accenture launches fifth season of InnovationJockeys'), (0.95, 'Look at Your Phone For Messages? Nope, Look at Your Pebble Smartwatch'), (0.95, 'Apple Pays $200 Million for Topsy'), (0.93, 'Enterprise Cloud Services Retooled as Google for Work'), (0.9, 'Solar Powered Startup Provides Protection Against Lion Attacks')]"
10 things in tech you need to know today,"[(0.95, ""Here's the salary you have to earn to buy a home in 19 major US cities""), (0.93, 'European shares lifted by solid earnings but RBS slumps'), (0.9, 'Photographer Driven Bananas Over Wikipedia Monkey Selfies'), (0.88, 'China extends Marriott-Starwood deal review by up to 60 days'), (0.87, '8 Daily Steps to Compete Like a Champion')]"
Best Small Business Use of Facebook Graph Search: Local Businesses,"[(1.0, 'Pinterest Contemplates Sponsored Pins'), (0.98, 'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market'), (0.97, 'Vine: Now You Can Send Video Messages Directly to Friends and Colleagues'), (0.97, 'Social Media Customer Care Company Raises $1 Million for Growth'), (0.97, '3 Ways to Look at Marketing')]"
Internet Explorer Remains Dominant Browser,"[(0.98, 'Local Marketing and the Google Pigeon Update'), (0.94, ""AdPushup, a tech startup backed by Microsoft Accelarator just raised Series A funding from Japan's Geniee, Inc""), (0.9, 'How Google Upgraded URLs Will Change Your AdWords Experience'), (0.89, 'Microsoft Now 5th Largest Tablet Seller, Propelled by Upbeat Ad'), (0.89, 'How to Claim a YouTube Custom Channel URL')]"
Adobe Document Cloud Aims to Get Rid of Your Paperwork,"[(1.0, 'Upstarts: How GenY Entrepreneurs are Rocking the World of Business'), (0.97, 'CorpNet Adds Free Meeting Minutes and Corporate Document Templates'), (0.96, 'Join Me For: Choosing the RIGHT Online Software'), (0.96, 'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks'), (0.96, 'Awaken Your Productivity With Fearless At Work')]"
10 Social Media Resolutions for 2012,"[(0.96, 'How Much Will the Sequester Cost Small Business Contractors?'), (0.95, 'Newly Sworn SBA Chief Must Deal With Lending Defaults'), (0.95, 'How to Market Your Business on Twitter Like a Pro'), (0.95, 'Do You Qualify for a Break Under These Small Biz Tax Definitions?'), (0.94, 'How to Handle a BBB Complaint Against Your Company')]"
Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business,"[(1.02, 'Advantages of Using eCommerce Software in Your Retail Business'), (1.01, 'The Sweet Sound of Online Sales: Review of KaChing'), (1.01, 'LinkedIn Rolls Out New Features For Marketers'), (1.01, '10 Ways to Save Money for Your Business'), (1.0, 'The Evolution of Affiliate Marketing')]"
Odd Lots:,"[(0.96, 'Answers About Free Wireless at Airports for Modern Travelers'), (0.95, 'Communicating to Employees About Health Insurance Open Enrollment'), (0.89, 'Cognizant shuffles senior management, appoints new COO'), (0.89, 'Behavioral Economics for Entrepreneurs'), (0.89, '15 Startup Mistakes You Should Avoid')]"
Bieber Invests in Social Media for Teens,"[(0.98, 'The Experience Effect for Small Business is Full of Big Branding Strategies'), (0.97, 'How Are Business Books Like Restaurants?'), (0.97, 'Finding Success Empowering Lifestyle Entrepreneurs'), (0.95, 'The Commitment Engine Inspires Small Business Growth'), (0.95, '20 More Resources To Sell Your Handmade Crafts')]"
Oil prices fall on oversupply concerns despite output cuts,"[(0.96, 'LG Plans Curved Phone for U.S. Market'), (0.96, 'How to Install a WordPress Plugin on Your Website'), (0.93, '45+ Tools for Content Curation and Content Marketing'), (0.92, 'Nina Yiamsamatha of Foursquare: Future of Global Search is Personalized and Local'), (0.92, 'Nimble CRM Says LinkedIn Lock Out is a Minor Stumbling Block')]"
Book Review: I Love You More Than My Dog,"[(1.0, 'Lawn Care Services Offered on Amazon Soon'), (0.97, 'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe'), (0.97, 'Busted: Hotels.com Caught Buying Links, Apology is Weak'), (0.97, '5 Ways to Avoid BYOD Nightmares'), (0.95, '7 Ways to Get More From Social Media in 2010')]"
Handmark Acquires UK Mobile Game Maker Astraware,"[(0.96, 'Cicret Could Turn Your Skin Into a Smartphone Display'), (0.94, 'No one is telling you the dark side of becoming an entrepreneur'), (0.91, 'Small Business Disaster Survival Guide: Get Your Insurance Claims Covered'), (0.91, 'Franchising In The Downturn And Recovery'), (0.88, 'Amazon Takes Aim at Etsy with Handmade')]"
10 Reasons to Be Optimistic Looking Forward,"[(1.01, 'MYQROsites Offers New App for Mobile Marketing With QR Codes'), (0.95, '5 Ways Business Intelligence and Online Marketing Can Work Together'), (0.94, 'The Psychology of Color in Marketing'), (0.94, 'Netgear Offers Storage Alternatives to the Cloud'), (0.94, 'How I increased my productivity 1.5x by experimenting with my work schedule')]"
Using Vine Videos to Beef Up Your Written Content,"[(1.0, 'New Magazine Tells of Smart Hustling Small Business Entrepreneurs'), (1.0, '10 Ways to Use Hashtags for Your Business'), (0.97, 'Why Small Businesses Love Cloud Services'), (0.94, 'How to Create a Mobile Office for Your Small Business'), (0.94, 'Better Business Bureau Reviews, LinkedIn Apps and More')]"
Understanding Health Insurance Marketplaces: Fast Facts,"[(0.97, 'Profit Sharing Surprise: Lenovo CEO Shares Bonus with Employees'), (0.97, 'IRS Claims Small Businesses Underreporting Cash Payments'), (0.94, 'Small Business News: Week in Review for July 7'), (0.94, 'How a Small Business Can Use Big Data'), (0.94, 'Despite the Hype, Few Study Entrepreneurship')]"
Types of Franchises And How To Find Them,"[(0.99, 'The Referral Engine: Teaching Your Business to Market Itself'), (0.97, 'Introduction To Franchising'), (0.95, 'Omnichannel done right: 4 ways to keep the communication in marketingcommunications'), (0.95, 'Meet 15 Movers and Shakers at ICON15'), (0.95, 'Market Your Business on Facebook With Some of This Secret Sauce')]"
12 Tips and Tools for Better Facebook Management,"[(1.01, 'Dell Has A New Tablet, iCloud Prices Drop'), (1.01, '10 Food Franchise Technology Tools And Solutions'), (1.0, 'Rock Your Business With These 23 Website Building Tools'), (1.0, '27 Percent of Mobile Sites Are Misconfigured Leading to Lower Traffic'), (0.98, 'New Dell Tablet Features 3D Camera')]"
Offer Newsletter Sign Up Incentives to Your Site Visitors With Incentivibe,"[(1.0, 'Purchase by Commenting on Instagram with Spreesy'), (0.97, 'CorpNet Adds Free Meeting Minutes and Corporate Document Templates'), (0.97, 'Better Business Bureau Reviews, LinkedIn Apps and More'), (0.96, 'Join Me For: Choosing the RIGHT Online Software'), (0.96, 'Google Increases Transparency Around Click Fraud')]"
Here's a super-quick guide to what traders are talking about right now,"[(0.95, 'What to buy, sell and hold'), (0.9, 'Presentations: How to Make Your Message Stick'), (0.89, 'Crude palm oil futures remain up on rising demand'), (0.86, 'Stay At Home Mom Launched $24 Million Franchise in her Living Room'), (0.85, 'Earnings This Week')]"
5 Things You May not Know about Small Business Taxes,"[(0.97, 'What Makes an Entrepreneur?'), (0.96, 'Spotlight: BlogPaws is a Media Company That Puts Animals First'), (0.9, 'Small Business News: An Acquisition, a Rebrand and a Shutdown'), (0.9, 'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market'), (0.89, '50 Time Saving Tips for Small Businesses')]"
5 Essential Social Sharing Buttons for Your Site,"[(1.02, 'PayPal Will Change User Agreement After Robocall Concerns'), (1.01, 'How To Integrate Your Remote Office Effectively'), (1.01, '10 Ways to Save Money for Your Business'), (1.0, 'The Evolution of Affiliate Marketing'), (1.0, 'Read Impact Equation to Help You Harness Your Social Media Message')]"
Constant Contact Moves into Mobile with Acquisition of CardStar,"[(1.0, 'Turn Visitors Into Buyers: Benefits of Retargeting'), (1.0, '3 Ways to Perform SEO on a Shoestring Budget'), (0.98, '6 Statistics That Influence Your Mix of Media, Marketing and Mingling'), (0.95, 'Yelp Data Shows the Power of Mobile Marketing'), (0.95, 'Small Business News: An Acquisition, a Rebrand and a Shutdown')]"
Small Business News: Stories This Week Not to Miss,"[(1.0, 'Expand Your Pinterest Strategy Beyond Images Using Dashboards'), (0.97, '7 Missing Elements of Your Content Strategy'), (0.96, 'Twitter Ads API Gives You More Advertising Options'), (0.96, 'SMB Marketing Is About Telling Your Story'), (0.96, 'RGB, CMYK and PMS Colors Explained')]"
Crowdfunders: PayPal Will No Longer Freeze Your Funds,"[(1.0, 'Got a Sony Laptop? See If Your Batteries Could Be a Hazard'), (0.93, 'Why I Linked Out on LinkedIn'), (0.93, 'The yen is surging'), (0.93, 'The Project Champion: A Management Best Practice'), (0.86, 'Forget what you heard: Jupiter does not orbit the sun')]"
Batchbook and HootSuite Integration: View Social Media Activity and Customer Contacts Together,"[(1.0, 'Yelp Reviews Out of Google Places. What Else Ya Got?'), (1.0, 'Pinterest Contemplates Sponsored Pins'), (1.0, 'Book Review: You Are What You Choose'), (1.0, '10 Social Media Books Every Small Business Owner Should Read'), (1.0, '10 Reasons to Boost Your Twitter Presence')]"
"No More Plastic Phones: Samsung Galaxy A3, A5 Made of Metal","[(0.94, 'Review of Hootsuite: Manage Social Media From A Single Dashboard'), (0.94, 'Netgear Offers Storage Alternatives to the Cloud'), (0.94, 'How I increased my productivity 1.5x by experimenting with my work schedule'), (0.9, 'Yelp Data Shows the Power of Mobile Marketing'), (0.9, 'Review: Attention! This Book Will Make You Money')]"
Briggo Will Change Your Morning Coffee,"[(0.94, 'What Makes You Stand Out When Job Hunting?'), (0.94, 'Microsoft Ponders Free Windows Phone Licensing'), (0.94, 'Med-tech providing sustainable solutions for healthcare'), (0.86, 'Your End of Year Legal Checklist'), (0.86, 'Sustainable Startups Using Technology to Make Use of Food Waste')]"
15 Power Foods To Boost Your Business,"[(0.98, 'How Do Your Employee Benefits Stack Up?'), (0.97, 'Protecting Small Business Intellectual Property'), (0.94, 'Why Small Businesses Love Cloud Services'), (0.94, 'Facebook Wants Your Businesses On Messenger'), (0.94, 'Entrepreneur Cleans Up With Handmade Product Businesses')]"
6 Things Customers Want from Retail Stores and How You Can Deliver,"[(1.0, 'Google Makes Business Photos Self-Service'), (0.97, 'How 5 Small Businesses Are Using Facebook to Reach Customers'), (0.96, 'Time is Money: Are You and Your Employees Effectively Managing It?'), (0.96, 'Shocker: People Do Not Read What They Share on Social Media'), (0.96, 'Save the Date for a Twitter Chat: Demystifying Data Backup')]"
How 5 Small Businesses Are Using Facebook to Reach Customers,"[(0.98, 'Shutdown Cost Small Tourism Businesses Millions'), (0.97, '6 Things Customers Want from Retail Stores and How You Can Deliver'), (0.97, '4 Ways to Make or Save Money with a Smartphone'), (0.95, 'Small Business Job Growth Dips in January'), (0.95, 'Fraudulent DMCA Takedown Requests: Finally, a Lid on Them?')]"
CEO of @PipelinerCRM: Sales is About Process & People Not Data Mgmt,"[(0.97, 'Working at TaxiForSure is fun for sure [Fabulous Workplaces]'), (0.94, 'This Startup is Using Salt to Create an Alternative to Nuclear Energy'), (0.92, 'These were the 10 biggest European tech stories thisweek'), (0.91, 'Volvo is quietly becoming a tech superpower'), (0.9, 'Oakland Program Helps Underprivileged Youth Start Businesses')]"
Is Your Online Reputation Impacting Your Business?,"[(0.94, 'Microsoft Now 5th Largest Tablet Seller, Propelled by Upbeat Ad'), (0.89, '3 Foundational Tips to Beat Negative Online Reviews'), (0.88, 'YouTube Adds Google Plus Type Comments'), (0.88, 'Homeless Man Learns Coding, Launches App'), (0.88, 'Google Grants Available for Nonprofit Organizations')]"
85 Percent of Small Businesses Get Customers Through Word of Mouth,"[(1.0, 'The 10 things in advertising you need to know today'), (1.0, 'Learn Vital Lessons by Entering The Mind of Elite Entrepreneurs'), (0.98, 'The State of Social Media'), (0.98, 'Stop Collecting And Start Engaging With Your Twitter Followers'), (0.98, '12 Ways You Can Use LinkedIn for Branding to Stand Out')]"
"Give Quantitative, Monetary Values to Employee Benefits or Risk Attrition","[(0.97, 'When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur'), (0.97, 'What you need to know on Wall Street right now'), (0.97, 'What You Need to Know About the Sequester'), (0.97, 'How Venture Capital Deals Have Changed Since the Great Recession'), (0.94, 'Banks and tech firms apply blockchain to trade finance')]"
3 Ways to Perform SEO on a Shoestring Budget,"[(1.0, 'Turn Visitors Into Buyers: Benefits of Retargeting'), (1.0, 'Constant Contact Moves into Mobile with Acquisition of CardStar'), (0.98, '6 Statistics That Influence Your Mix of Media, Marketing and Mingling'), (0.95, 'Yelp Data Shows the Power of Mobile Marketing'), (0.95, 'Small Business News: An Acquisition, a Rebrand and a Shutdown')]"
Are PPC Ads Following You?,"[(1.0, 'Xero Sees 200 Percent Increase in U.S. Customers, Adds New Leadership'), (0.96, 'Review: Attention! This Book Will Make You Money'), (0.93, 'Vertical Response Acquires Social Media Platform Roost'), (0.93, 'Netgear Offers Storage Alternatives to the Cloud'), (0.93, 'How to Balance Engagement and Customer Service on Twitter')]"
50 quotes which will trigger productivity,"[(0.93, 'iPad Users Get Refund on Office 365'), (0.86, 'Why We Are Afraid to Talk Pricing'), (0.85, 'New Amazon Kindles Will Be More Like Tablets'), (0.81, 'WitKit Platform Lets Your Team Collaborate in Security'), (0.8, 'Plug In and Charge Internationally With the MU System')]"
"Infusionsoft Bucks Acquisition Trend, Builds Its Own Social Features","[(1.0, 'Jon Ferrara of Nimble: Social Selling is About Striking the Right Balance of Insights and Instincts'), (0.97, 'Watch These Metrics to Measure YouTube Marketing Success'), (0.97, 'Twitter Ads Soar, But Beware This AdWords Hack'), (0.97, 'New Google and New Foursquare Offerings Call Attention to Local Business Marketing'), (0.97, 'How to Use Cloud Apps to Streamline Your Marketing Campaign')]"
U.S. Postal Service Lowers Package Rates,"[(0.97, 'Infusionsoft Announces Mobile Payments and More at ICON15'), (0.97, 'Become a Better Blogger and Writer in 7 Easy Steps'), (0.95, 'How to Be a Fierce Competitor'), (0.95, 'How To Integrate Your Remote Office Effectively'), (0.92, 'Yelp Reviews Out of Google Places. What Else Ya Got?')]"
Bing Gives Twitter Results Including Hashtags and Handles,"[(1.0, 'A New Code of Conduct for Affiliate Marketing'), (0.95, 'The Sweet Sound of Online Sales: Review of KaChing'), (0.95, 'The Evolution of Affiliate Marketing'), (0.95, 'Small Business Product Launches and Shut Downs'), (0.95, 'Read Impact Equation to Help You Harness Your Social Media Message')]"
LG Plans Curved Phone for U.S. Market,"[(1.02, '2 Important Things to Know About Viral Videos'), (0.96, 'Oil prices fall on oversupply concerns despite output cuts'), (0.96, 'Nina Yiamsamatha of Foursquare: Future of Global Search is Personalized and Local'), (0.96, 'Nimble CRM Says LinkedIn Lock Out is a Minor Stumbling Block'), (0.96, 'Increase Your Website Credibility in the Age of Content Marketing')]"
TaskRabbit Switches Business Models,"[(1.0, 'South Dakota, Texas Top List of Best State Tax Systems'), (0.95, 'Where Is the Best State to Incorporate Your Business?'), (0.95, 'Targeted Cyber Attacks Against Small Biz: Chat Recap'), (0.95, 'Small Business Loans Hit Record High for Third Consecutive Month'), (0.95, 'Small Business Job Growth Dips in January')]"
Chrome Cracks Down on Extensions for Adding Unwanted Adware,"[(1.0, 'LotusJump Review: Do-It-Yourself Online Marketing Service'), (0.97, 'Create Your Holiday Online Review Strategy Now'), (0.96, 'Review: Samsung Chromebook for Your Small Business'), (0.96, 'ReTargeter Creator Aims to Replace CRM with New Immediately App'), (0.96, 'Mobile Coupons Slowly Gain Steam With Users')]"
Business By Miles: Automate Your Business All in a Single System,"[(1.0, 'The Island Approach: Which Are the Best Credit Cards for Small Business?'), (1.0, 'SMBs Make Hopeful 2011 New Year Resolutions'), (0.98, 'Yes, Some Small Businesses Have Social Media Budgets over $100,000'), (0.97, 'Get Ready: Here Comes Twitter Business Center'), (0.97, 'As Presidential Race Tightens Small Business Plays Big Role')]"
HTC Announces UH OH Protection for When an Oopsie Occurs,"[(0.94, 'How to Create a LinkedIn Profile That Rocks At Generating Leads'), (0.94, 'First Sharp Aquos Smartphone Comes to U.S. Market'), (0.89, 'Sun TV Q1 net profit climbs 19% to Rs 233.1 crore'), (0.88, 'Pinteresting Image Optimization Tips When Using Pinterest for Business'), (0.88, 'New Business Trend: Pricey Play Date Consultants')]"
